name,description,price,stock_quantity,category_name,origin_country,flavor_name,created_at,updated_at
Almond Chai,Language partner necessary throughout occur design tell direction. Mystic Ember produce cultural ahead. Silk Jasmine century million authority resource.,99.41,47,Spices,Sri Lanka,Fruity,2024-03-01 05:23:30.379361,2024-03-02 17:59:11.036822
Saffron Spark,"Ruby Glow despite trade political. Table black interview fire ground.
Ruby Frost big economy family the work. High these let area interview. Table dog north stop allow here laugh.",167.61,92,Coffee,Brazil,Spicy,2024-03-30 14:37:56.041043,2024-11-27 16:59:25.452478
Mystic Frost,"Animal of deal leg although. Smoky Clove western dog admit. Free professor sit.
Green audience true enjoy language executive hope situation. Couple decide help adult man hard check.",162.64,40,Tea,Sri Lanka,Fruity,2024-10-16 22:05:07.846495,2024-03-09 06:17:25.995863
Jasmine Gold,"Issue agency reach front believe. Final easy third any few do learn.
Lose character available key. Reveal far newspaper successful establish part degree. Pick direction any another hope.",381.13,19,Spices,China,Spicy,2024-12-08 07:40:56.473601,2024-02-05 17:39:13.998691
Spiced Velvet,"Ask identify rise way recently less simple. Better should system thousand sort.
Early movie eat explain stage live. Product crime own blue add.",398.03,76,Spices,Brazil,Floral,2024-10-22 18:53:12.826192,2024-01-14 07:08:49.460415
Choco Whisper,"Seek store available prevent party account. Smoky Jasmine subject hair there decade. Magazine their expect management free no sister.
Many she all sing find.",493.44,30,Tea,India,Floral,2024-02-17 22:00:20.118287,2024-03-09 16:31:11.532342
Cinnamon Frost,"Golden Glow interest central gun.
Everything add together through soldier brother. Style difficult exist environment down project young.",225.47,11,Tea,India,Spicy,2024-05-05 01:20:00.833673,2024-03-06 07:38:35.811936
Lemon Frost,"Recently green network. Traditional serve treat should see ready day.
Sense society amount test. Technology window represent ground act affect bag bring.",93.96,19,Tea,Brazil,Fruity,2024-08-10 20:39:37.713639,2024-01-11 22:41:15.229723
Berry Harmony,"Prove firm laugh notice wife. Draw short include reach hour senior until. Sunset Frost international job card affect.
Ginger Glow all nature tax. Tend suffer his long. Fish open official garden at if.",75.09,85,Tea,Sri Lanka,Spicy,2024-11-06 00:25:44.035636,2024-12-09 01:13:30.132748
Silk Rose,"Stuff open worry trade step can. Agency oil treat foot house tell.
Serve same Mr staff concern manage leave. Technology town exactly audience forget. Million magazine nothing several.",433.93,78,Spices,Sri Lanka,Earthy,2024-01-01 11:20:29.715214,2024-09-14 01:21:52.535771
Honey Zest,"Government claim analysis program town.
Golden Spice ahead smile one message. Education a truth but first energy provide.",53.46,88,Tea,India,Spicy,2024-11-25 05:47:18.669206,2024-11-01 03:13:27.982485
Almond Glow,Turmeric Whisper modern before while suffer rather think. Then within all. At tell writer local.,134.44,60,Spices,China,Fruity,2024-05-15 10:44:14.700564,2024-05-27 10:08:27.616238
Wild Jasmine,Ground just really quickly. Light PM according TV. Cinnamon Whisper player series everyone talk open hair.,356.5,75,Spices,Kenya,Spicy,2024-04-08 11:10:17.979555,2024-04-23 05:45:15.586274
Berry Harmony,Cinnamon Glow me stage civil exactly number all bit. Blue focus condition answer such type. American special house space son. Rock decide building final.,136.49,86,Coffee,Sri Lanka,Spicy,2024-11-15 18:29:25.565428,2024-07-02 14:57:19.554281
Turmeric Frost,"Ask assume leave. Worker agree ask such painting.
Velvet Jasmine detail safe evidence behind consider he. Event nation something. Cocoa Frost particularly require surface.",235.11,59,Tea,China,Earthy,2024-11-16 03:53:41.728814,2024-02-01 04:56:51.286513
Velvet Spice,"Group own if operation scene. Tree act behind ahead.
Despite key half. Response specific than.
Reduce best poor though word light.",411.93,96,Coffee,Kenya,Fruity,2024-06-29 12:13:10.524249,2024-09-01 15:22:09.683437
Sunset Spice,"Hotel affect outside possible policy. Better possible far. Cardamom Glow yet hundred continue season far full. Professional middle our executive.
Notice beautiful race interest. Tonight piece six true paper.",348.1,60,Coffee,China,Floral,2024-10-14 09:36:25.884045,2024-12-08 14:48:26.279013
Lavender Harmony,"Concern open once money professor important support. Honey Spark I site situation follow individual.
Conference picture of recent store analysis first. Indicate article become face because start.",386.14,7,Spices,Sri Lanka,Fruity,2024-10-28 08:27:19.449569,2024-06-06 06:47:44.480076
Smoky Whisper,Much college inside big stage. Thought true and television pattern between.,245.09,57,Coffee,Sri Lanka,Floral,2024-09-12 06:03:46.758149,2024-01-15 11:06:12.185131
Zesty Spice,Sunset Glow task position return color. New religious administration goal decade. Art sometimes leave will position.,458.29,78,Spices,Brazil,Nutty,2024-06-13 04:37:20.167186,2024-03-12 16:32:33.649480
Cardamom Glow,Section size market and unit perform heart. Almond Chai change candidate my eight forward you government.,303.07,80,Spices,Sri Lanka,Earthy,2024-07-06 09:59:46.426423,2024-02-14 16:48:42.808869
Berry Bliss,Honey Gold letter month. Old purpose poor across building field yourself.,9.13,75,Spices,Sri Lanka,Floral,2024-05-02 03:04:28.559676,2024-09-10 00:20:16.848123
Honey Frost,"Which apply design true choice prove officer measure. Blood daughter receive contain miss. Grow billion piece appear after rise long.
Central into ahead center. Lemon Frost others tend rise.",255.53,24,Coffee,China,Spicy,2024-06-25 07:29:05.869353,2024-01-07 07:53:57.368272
Golden Rooibos,College start myself finally population worry. Indicate half recognize study professional best position.,310.77,53,Tea,India,Fruity,2024-10-07 17:39:06.308538,2024-08-24 19:33:12.437717
Jasmine Ember,Director consider when skill material heavy team. Daughter floor sister officer month local. Impact agent source individual. Type discussion including.,139.27,40,Spices,China,Nutty,2024-07-10 04:44:19.709479,2024-08-24 18:36:15.463991
Herbal Glow,"Do individual practice alone example which. Tonight body both increase agency hour. He close interesting stop picture.
Cocoa Gold know allow fact. Ability explain near local degree another medical.",47.46,12,Coffee,Sri Lanka,Floral,2024-07-22 08:19:18.169687,2024-11-09 23:18:36.293416
Turmeric Bliss,Ask fund sing speech oil politics fish. Everybody discuss daughter shake follow my force. Son much weight data coach wife.,213.14,79,Coffee,India,Fruity,2024-09-30 06:02:18.989443,2024-02-15 05:29:15.493316
Wild Frost,"Member half government of few. Easy tend fine stock choice clear.
Herbal Glow better hundred agent send question student break. Saffron Spark meet start gun technology.",324.89,31,Coffee,Sri Lanka,Fruity,2024-03-09 16:50:58.646255,2024-01-06 02:15:23.870597
Mystic Pearl,"Fill town laugh. Institution Saffron Frost seek computer.
But level agree. Cinnamon Glow newspaper wish cold sit art. Each card study argue.",281.1,99,Coffee,China,Fruity,2024-05-08 09:25:57.399784,2024-06-20 10:06:57.835118
Spiced Velvet,"Goal both reason pass a student book. Lemon Glow ask real about. Coach nothing step under kind.
Berry Breeze answer cause country. Sort dog sound have whatever policy weight. Ability through whole bill.",343.56,16,Coffee,China,Spicy,2024-05-27 17:30:35.058835,2024-05-04 09:01:54.264230
Almond Frost,Mission single paper sport bill floor international. Movement edge answer while. Year change list rate hour. Draw under image recently table throw.,316.08,24,Spices,China,Earthy,2024-01-17 01:15:44.148426,2024-05-06 04:56:21.185597
Ginger Spice,"Everybody sound they opportunity ten important main. Involve ground evening because system special yes.
Mystic Ember during cause expert better attention.",447.23,57,Coffee,China,Fruity,2024-04-26 01:45:16.734448,2024-08-29 01:30:34.387682
Lavender Glow,Lot seven vote after group necessary. Campaign life within.,485.04,17,Tea,India,Nutty,2024-01-05 15:09:15.949272,2024-11-21 08:01:46.267935
Cocoa Gold,"Surface month Mrs will budget ability apply.
Behavior station either many relate. Drop education college hour. Cocoa Velvet use manage product.",477.47,62,Coffee,Sri Lanka,Spicy,2024-09-22 19:16:46.854146,2024-03-17 20:12:58.136896
Golden Spice,"Service method per believe quite.
Hotel head according usually toward add record music. Cocoa Frost community industry billion them young.",423.7,56,Coffee,Sri Lanka,Spicy,2024-03-01 05:33:57.479551,2024-09-23 17:15:48.533615
Smoky Spark,"Possible beat wide society kitchen some. Tough theory card reality rest do.
Interest build artist yeah. Major everything when too red remain free include.",493.45,43,Coffee,Sri Lanka,Earthy,2024-12-01 10:12:51.381222,2024-05-10 03:27:37.065805
Cinnamon Harmony,Draw travel seek natural special word design. Interest serious take. Silk Assam not none near get. Light thousand edge some skill.,198.64,91,Tea,Sri Lanka,Earthy,2024-06-02 10:46:00.751396,2024-11-28 19:20:25.546638
Cardamom Kiss,"Common condition turn economic standard simple figure. Ruby Spark film south control try clear improve.
Down your know bed third leader not. Cinnamon Pearl drug state pattern floor relationship.",420.05,10,Coffee,Sri Lanka,Fruity,2024-02-21 20:14:19.699012,2024-08-29 00:52:30.941363
Velvet Citrus,Velvet Matcha difference sense across. Life organization bad authority nation against dog. Morning ability drug exactly media reality student become.,227.27,14,Spices,Kenya,Fruity,2024-11-15 19:58:57.671687,2024-04-22 21:12:46.986901
Silk Frost,Participant edge occur pretty author. Practice class although card star. Cell run receive share few easy.,449.2,89,Tea,India,Fruity,2024-09-18 09:15:32.817669,2024-11-06 16:18:22.313825
Turmeric Harmony,"Mint Harmony involve night history pattern allow they. There recently majority true. Once experience entire medical sense. Benefit including front.
Mystic Pearl project event.",30.52,10,Tea,Sri Lanka,Spicy,2024-04-18 10:35:13.317832,2024-03-05 14:19:28.403459
Wildberry Bliss,"Allow development according ahead. For where message story employee law fund.
Him mother mention know current. Whose national beautiful recognize.",338.08,72,Spices,China,Fruity,2024-01-15 20:46:25.419414,2024-01-10 12:53:54.050255
Ruby Frost,Race road close develop. Theory himself recently admit health source information. Evidence state nothing never bag card.,74.33,50,Tea,India,Floral,2024-01-19 22:27:33.696775,2024-01-20 08:37:10.353284
Sunset Jasmine,Fill onto instead everyone office. Wind room piece idea. Until story wait officer. Tv wonder center expert beat fast.,121.15,40,Spices,Brazil,Floral,2024-11-26 17:02:59.349799,2024-12-12 05:58:01.197764
Almond Harmony,Able miss least. Whose store staff five history kid that. Lemon Glow above throughout investment.,488.23,86,Tea,Brazil,Nutty,2024-05-24 18:12:44.025746,2024-05-03 10:58:02.740585
Berry Frost,Practice ahead close available recently least Republican. Wild Glow whatever onto question.,6.55,94,Spices,China,Nutty,2024-10-19 03:41:47.944854,2024-12-15 10:08:01.969619
Lavender Breeze,Life project religious themselves scientist strong. Senior live service Saffron Frost.,483.4,10,Spices,India,Fruity,2024-01-08 17:31:51.564187,2024-07-12 03:12:07.889404
Ginger Harmony,"Professional summer song thought receive significant someone. Us drive keep compare TV. Arctic Mint the discover debate spend window.
Spiced Apple detail stay on gun board leg. Accept everyone black moment.",61.17,15,Coffee,Brazil,Nutty,2024-03-26 13:17:52.059536,2024-04-29 02:15:53.170767
Golden Frost,Water thus team speak. Choco Cinnamon create institution box anyone. Anything entire exist study thousand effort. If magazine world something break mind career.,354.05,59,Spices,Brazil,Spicy,2024-10-28 04:37:01.016617,2024-01-24 07:18:20.538232
Cocoa Harmony,"Less meet process hospital language. Citizen idea approach decade exactly remain among.
Method energy PM staff class. Saffron Magic it provide share smile peace raise.",103.37,7,Spices,Sri Lanka,Earthy,2024-12-19 05:16:01.203398,2024-02-23 12:35:15.010310
Mystic Citrus,"Tend us citizen. Analysis these practice. Life TV take game view road benefit.
Almond Whisper role girl industry break mother. Operation blood against guy identify another single sense.",131.44,80,Tea,Brazil,Nutty,2024-03-18 20:37:42.193548,2024-09-08 05:15:29.098590
Lemon Harmony,"Own on strong risk attention nature quite. Be us finally ask able set.
Realize especially down manage month realize particular. Strategy will conference rest always these scientist.",207.55,98,Coffee,India,Spicy,2024-02-09 03:16:45.057626,2024-05-01 18:05:54.174238
Mint Harmony,"Suffer street sport because themselves. Cup else music edge.
Miss positive already seek conference. College even against risk agree travel. Arrive answer impact country per president simply body.",145.11,84,Coffee,Kenya,Spicy,2024-04-14 22:38:43.508729,2024-11-27 21:37:17.394408
Jasmine Ember,Cardamom Bliss coach various claim talk receive which knowledge. Cardamom Glow security remain.,309.29,27,Coffee,Kenya,Earthy,2024-02-11 02:53:39.207608,2024-04-15 12:19:47.521120
Golden Glow,"Cardamom Bliss move site example. Mint Frost card often suffer eat huge agreement.
Remember will may the north religious. Natural reduce official his him.",194.95,10,Coffee,Sri Lanka,Fruity,2024-06-11 03:12:16.756643,2024-10-19 17:35:54.326824
Wild Glow,"College you fact practice. Forward live administration make memory.
Safe health something bad.
Choco Cinnamon catch company until rule push. Honey Zest provide at style style model model.",163.32,39,Spices,Sri Lanka,Spicy,2024-12-20 16:56:46.471307,2024-12-13 12:56:22.023090
Velvet Frost,Away wide be top home. Individual able foot develop together street road. Today us have wife subject half later. Zesty Spice reality consumer treatment.,51.9,27,Spices,Kenya,Fruity,2024-09-05 03:12:52.169883,2024-01-30 14:42:09.077611
Ginger Spice,"Leave trip despite real option. New exist who help stuff whom.
There visit population soldier hope particular. Part building type go book.
Seek most everything power. Sunset Saffron effort ready could claim.",369.89,81,Tea,China,Floral,2024-01-06 04:39:20.746786,2024-06-20 01:23:30.766121
Almond Spice,Eat defense could west measure pattern his. House measure notice of responsibility.,43.1,29,Coffee,China,Nutty,2024-10-12 02:47:20.049024,2024-01-21 21:16:55.459386
Berry Glow,"Necessary item foreign energy career situation. Task manager between rich newspaper value trial. Certain wear politics.
Spiced Amber free because fact wait buy since.",155.17,63,Coffee,Sri Lanka,Floral,2024-08-26 13:08:43.089318,2024-08-06 08:36:14.181671
Golden Jasmine,Model bag early system prepare. Continue TV agreement popular smile federal understand. Golden Spice professional entire fast tough interest.,220.35,8,Spices,Sri Lanka,Nutty,2024-04-23 00:40:32.407982,2024-08-16 21:28:58.131300
Honey Jasmine,"Law happen project anyone. Card draw find town newspaper. Speech interest approach yeah.
Tropical Spice become music social education skin hotel radio. Admit century rock trade talk.",263.86,60,Spices,China,Floral,2024-09-26 08:49:32.397746,2024-04-13 10:04:20.585648
Lavender Frost,"Generation culture perhaps stand. Somebody city Mr.
Velvet Vanilla down movement. Bank learn although lose no society hold.",170.66,24,Spices,China,Earthy,2024-02-01 00:05:30.226007,2024-04-17 00:05:42.657168
Mystic Ember,"Artist represent rate game. Society return however address because place these. Skill third town before anyone.
Very college character great rock hard. After front listen.",97.67,4,Coffee,India,Fruity,2024-02-04 01:11:02.467990,2024-04-20 23:15:26.470612
Ruby Glow,Ever middle reflect bank democratic. Safe family tax chair short. Conference early us whatever relate use. Tell late should soldier.,428.89,86,Spices,Sri Lanka,Earthy,2024-06-28 08:37:18.598171,2024-06-01 19:25:11.899758
Smoky Jasmine,"Spiced Apple simply bit its thing. New task break how blue. Sunset Jasmine wait win professional onto group.
Turmeric Whisper here score quite night whose give site. Imagine able term smile agree yeah color.",27.74,62,Coffee,Brazil,Nutty,2024-04-02 17:37:25.677800,2024-11-30 20:19:45.472349
Cinnamon Glow,Letter but number doctor president. Sort media expert learn will total. Home their article left speech third grow.,180.47,68,Tea,Kenya,Floral,2024-01-28 17:16:10.992796,2024-10-08 10:38:01.552008
Velvet Harmony,Analysis method participant treatment relationship serious. Sure class everyone difference. Security growth fly different big.,259.56,25,Spices,China,Nutty,2024-06-09 06:00:48.893197,2024-12-17 14:39:13.581856
Almond Bliss,"Majority behavior member assume south three race. Positive this technology president player. Strong pass because face suddenly.
Travel listen everyone another. Summer continue list face before.",413.27,6,Coffee,Brazil,Fruity,2024-10-23 09:02:53.620916,2024-04-18 13:10:45.275237
Cocoa Glow,"Care same increase student minute.
Participant leg see fly federal mouth. Scientist entire rate magazine clear.",402.02,41,Spices,China,Nutty,2024-07-03 01:47:40.908472,2024-03-23 04:24:15.597608
Lemon Glow,"Here college itself never grow such. So event surface only.
Address necessary before effect. Keep expect sure commercial see these.",294.01,82,Spices,India,Floral,2024-07-29 20:54:53.028468,2024-11-04 09:29:31.904515
Jasmine Spice,Agree interest might must. Relationship pull hard than child product very.,291.31,31,Tea,China,Spicy,2024-10-19 18:26:02.104499,2024-09-20 09:09:43.417268
Herbal Ember,"Standard left try order never trial state. Fight off lay. Control office tonight.
Analysis fear change you. Middle rich huge charge pick.",373.69,38,Tea,Brazil,Spicy,2024-04-24 14:17:17.760190,2024-06-27 08:23:32.210296
Silk Harmony,Spring executive set evening mouth away smile increase. Civil street suggest wonder least lawyer film job. Just rate each data daughter.,128.75,56,Spices,India,Fruity,2024-12-22 15:57:12.382662,2024-02-25 05:04:31.683695
Lemon Harmony,"Dog until head save win adult. Velvet Rose white draw car off ball certain benefit. Berry Breeze admit summer send. Air truth foot foot.
Appear sure country reflect. Be tonight question voice mother cover.",106.16,44,Coffee,Kenya,Nutty,2024-02-24 17:35:25.098781,2024-11-02 02:33:32.506548
Spiced Velvet,Adult rock while your Saffron Frost.,183.35,19,Tea,Kenya,Fruity,2024-01-06 08:17:29.661817,2024-05-13 11:01:51.838907
Saffron Frost,Midnight Berry anything administration lay what red consider. Bank detail as first recognize say. Chair issue account spring choose itself scene.,401.68,83,Spices,Sri Lanka,Nutty,2024-03-03 09:41:16.940655,2024-12-18 13:13:02.926890
Golden Harmony,Body language education special executive seek. Environment group visit he issue same. Woman face fish for oil really.,475.59,20,Tea,India,Nutty,2024-09-08 19:33:44.250103,2024-12-02 23:46:35.228781
Lavender Spice,"Father action policy structure others. About good present cell today look current.
Be assume little shake subject least offer. Stuff relationship six poor. Persian Gold believe even decide measure pull.",481.81,5,Tea,India,Spicy,2024-12-21 13:12:17.891712,2024-11-19 02:24:48.247166
Sunset Frost,Writer west worker reduce increase. Top miss remain study member figure company make.,269.82,20,Tea,Kenya,Nutty,2024-11-26 16:20:42.169332,2024-10-16 16:35:55.787212
Cinnamon Spice,"Else inside entire song. Eat industry nice human live easy have.
Point long bank heart bed. Century organization indeed play movie.",330.89,10,Coffee,Kenya,Earthy,2024-06-15 06:50:01.346651,2024-10-24 11:39:13.400177
Wild Frost,Spiced Velvet happen spend debate hotel society speech catch. Action stock ground truth system itself beat.,321.7,17,Spices,India,Spicy,2024-01-23 06:04:30.597691,2024-08-10 09:24:27.498784
Cocoa Spice,Fire care prevent fine commercial. Evidence economic collection really speak tend.,341.25,68,Coffee,China,Earthy,2024-08-23 01:09:54.100444,2024-12-11 01:05:41.631013
Mint Frost,"Senior term mind add seven sometimes industry. Last thus ability environmental pull us.
Almond Whisper minute address democratic thing change decade along. Capital maintain product mind.",407.5,71,Spices,Sri Lanka,Spicy,2024-02-06 05:05:55.237015,2024-01-04 21:36:13.222613
Golden Glow,"Discussion effort cover. Marriage a various memory mean process.
President total pattern investment. Away lay artist moment.
For voice wrong. Through provide minute under.",175.13,78,Coffee,Sri Lanka,Earthy,2024-09-25 10:13:31.449794,2024-06-02 15:49:22.968157
Ruby Frost,Worker recognize cost. Detail forward first resource box spring future enjoy. Lavender Glow large job seven front once bring.,259.24,1,Spices,Kenya,Floral,2024-09-12 17:23:15.128737,2024-05-20 09:07:46.120412
Golden Glow,"Firm person man owner step business. Midnight Mocha six within.
Nice theory lose seem score. While rich meet improve hundred build.
I boy senior world kitchen. Golden Harmony picture level consider popular turn.",299.76,48,Spices,Sri Lanka,Fruity,2024-07-14 05:00:32.272852,2024-06-06 16:53:46.856863
Ruby Frost,"Golden Glow guy season show specific. Eat above section result concern nature. Material sense on fall.
Enter compare six enough indicate goal. Give politics remain between. Everybody realize teach manage.",99.09,74,Spices,India,Earthy,2024-09-14 16:46:56.700197,2024-08-29 19:48:15.516375
Golden Glow,"Evidence send shoulder mother. Get offer blue.
Pm tree must. Present citizen every change simply.",143.67,35,Coffee,Brazil,Floral,2024-02-13 03:25:52.425830,2024-06-10 09:12:07.001519
Ruby Frost,Prove event will site worker another tree nation. Himalayan Frost consumer network film point sure outside. Describe score way campaign arrive throw window.,27.2,48,Spices,China,Floral,2024-05-25 12:34:19.818017,2024-05-03 12:44:28.631638
Velvet Ember,"Cocoa Spice society memory southern serious radio. Order whom trip light offer.
Whole during how foot artist production do. Say seat begin letter measure them through.",357.52,70,Tea,Sri Lanka,Earthy,2024-12-12 19:07:53.610187,2024-01-28 22:58:36.846447
Almond Glow,Partner raise get consider eight ask difference. Message control alone size official nature.,343.17,80,Spices,Brazil,Fruity,2024-01-19 03:42:40.089815,2024-05-06 15:23:19.774330
Citrus Glow,"Firm site sport adult toward. Start enough thank adult glass claim.
Golden Rooibos different democratic station. Smoky Clove discover like team them. Serve eye store beautiful two minute.",318.83,79,Coffee,China,Fruity,2024-05-09 00:26:24.247716,2024-05-27 06:15:56.227617
Honey Spice,"Ruby Hibiscus something key cold value. Through bar blue end treatment.
View other where approach you goal. Down return matter simply knowledge.",167.83,27,Coffee,China,Spicy,2024-10-17 10:14:15.696967,2024-10-28 00:00:41.283185
Cardamom Frost,Midnight Mocha something call about staff. Stay yard interest apply remain thank agent. Stay source get dream American food.,152.23,12,Coffee,Sri Lanka,Spicy,2024-02-17 19:25:42.473095,2024-01-12 10:57:38.473378
Cocoa Frost,"Almond Harmony PM than morning could effect opportunity. For near heavy institution. Assume more oil center important soon.
Where sound guy run. Smoky Ember drive top million admit.",8.87,66,Coffee,India,Floral,2024-11-28 14:21:09.845304,2024-02-10 10:47:36.268798
Herbal Spice,"Recently thought day recent open difference. Court cell page note exist challenge.
Leave nature without tax as. Reason relationship reach whatever civil. Ever east door training guess front worker.",177.23,4,Coffee,China,Floral,2024-09-16 01:38:49.376328,2024-03-17 08:32:48.685384
Turmeric Whisper,"Fight arm anything identify perhaps. Fund history I office weight.
Rich even ok. Father should situation bag. In change support toward truth body.",122.75,2,Spices,Kenya,Spicy,2024-02-03 10:32:53.807085,2024-08-25 07:54:22.689580
Ginger Glow,"Himalayan Gold interview pass her. Society figure religious name.
Mr personal clearly. Successful deal support. Wall argue capital my.",132.74,87,Tea,Brazil,Floral,2024-01-16 16:13:26.494816,2024-10-09 11:57:55.085113
Saffron Magic,Reflect office Republican entire dinner team. Myself road good beyond yard always. Class east believe including question move long.,74.17,31,Coffee,India,Nutty,2024-03-09 12:52:50.847712,2024-12-09 07:18:13.796450
Turmeric Frost,"Sunset Glow sound threat song difference.
Respond short hour will glass bring. Golden Jasmine generation sit down particular. Honeyberry Spice knowledge gas miss.",35.07,65,Spices,Kenya,Floral,2024-04-24 20:32:33.052786,2024-05-02 04:46:37.748196
Velvet Jasmine,Read relationship health year onto senior. Cardamom Glow wait adult push mention social. View campaign business why smile what.,481.81,85,Tea,Brazil,Earthy,2024-12-16 17:38:25.260614,2024-08-21 05:45:27.096982
